id,date,h_humidity,h_temperature,a_humidity,a_temperature,a_voc,w_temperature,w_alarm
2835,2024-04-05 10:42:31.039870+00:00,None,None,None,None,26,None,True
3395,2024-04-05 19:28:22.324469+00:00,None,None,None,None,26,None,False
3955,2024-04-06 04:13:42.173722+00:00,None,None,None,None,26,None,False
4925,2024-04-06 19:27:27.437804+00:00,None,None,None,None,111,None,True
5485,2024-04-07 04:12:46.436269+00:00,None,None,None,None,111,None,True
6526,2024-04-07 20:28:03.187964+00:00,None,None,None,None,187,None,True
7086,2024-04-08 05:09:34.355401+00:00,None,None,None,None,145,None,True
7646,2024-04-08 13:56:52.069760+00:00,None,None,None,None,85,None,True
9420,2024-04-09 17:42:55.873712+00:00,None,None,None,None,135,None,True
10068,2024-04-10 03:56:53.296086+00:00,None,None,None,None,117,None,False
10786,2024-04-10 15:15:33.428633+00:00,None,None,None,None,117,None,True
11426,2024-04-11 01:15:55.882116+00:00,None,None,None,None,117,None,True
12142,2024-04-11 12:13:05.480608+00:00,None,None,None,None,86,None,True
12702,2024-04-11 20:55:31.968277+00:00,None,None,None,None,131,None,True
13262,2024-04-12 05:39:29.036241+00:00,None,None,None,None,106,None,True
13908,2024-04-12 15:59:00.932095+00:00,None,None,None,None,104,None,True
14468,2024-04-13 00:44:20.476266+00:00,None,None,None,None,104,None,True
15106,2024-04-13 10:44:42.765331+00:00,None,None,None,None,104,None,True
17538,2024-04-15 00:42:22.589175+00:00,None,None,None,None,48,None,False
18178,2024-04-15 10:42:45.462322+00:00,None,None,None,None,48,None,False
18738,2024-04-15 19:28:05.154503+00:00,None,None,None,None,48,None,False
19298,2024-04-16 04:13:24.949456+00:00,None,None,None,None,48,None,False
20824,2024-04-17 03:56:09.041495+00:00,None,None,None,None,25,None,True
21544,2024-04-17 15:14:26.731245+00:00,None,None,None,None,280,None,True
22584,2024-04-18 07:30:04.258298+00:00,None,None,None,None,60,None,True
23224,2024-04-18 17:29:54.935900+00:00,None,None,None,None,60,None,False
23774,2024-04-19 01:58:14.886383+00:00,None,None,None,None,193,None,False
25804,2024-04-20 09:36:45.956003+00:00,None,None,None,None,2,None,True
26518,2024-04-20 20:55:47.923582+00:00,None,None,None,None,311,None,False
30646,2024-04-23 13:26:18.540352+00:00,None,None,None,None,12,None,True
31530,2024-04-24 03:12:26.031502+00:00,None,None,None,None,90,None,True
32496,2024-04-24 18:24:41.572966+00:00,None,None,None,None,100,None,True
33461,2024-04-25 09:43:48.782742+00:00,None,None,None,None,57,None,True
35077,2024-04-26 10:59:45.990997+00:00,None,None,None,None,16,None,True
36042,2024-04-27 01:59:00.916172+00:00,None,None,None,None,54,None,True
38874,2024-04-28 22:07:12.992443+00:00,None,None,None,None,39,None,True
41300,2024-04-30 12:13:27.663841+00:00,None,None,None,None,3,None,True
41860,2024-04-30 20:58:47.712556+00:00,None,None,None,None,3,None,True
43220,2024-05-01 18:12:04.842523+00:00,None,None,None,None,236,None,False
43864,2024-05-02 04:12:10.838010+00:00,None,None,None,None,150,None,False
44424,2024-05-02 12:57:38.053757+00:00,None,None,None,None,109,None,False
44984,2024-05-02 21:37:33.390723+00:00,None,None,None,None,91,None,False
45544,2024-05-03 06:26:59.779952+00:00,None,None,None,None,87,None,False
46428,2024-05-02 20:43:59.553784+00:00,None,None,None,None,84,None,False
47798,2024-05-03 19:24:51.131594+00:00,None,None,None,None,81,None,False
48358,2024-05-04 04:10:11.086514+00:00,None,None,None,None,81,None,False
48918,2024-05-04 12:55:18.423762+00:00,None,None,None,None,81,None,False
49478,2024-05-04 21:40:37.707235+00:00,None,None,None,None,81,None,False
50038,2024-05-05 06:25:57.933748+00:00,None,None,None,None,81,None,False
50598,2024-05-05 15:11:18.405088+00:00,None,None,None,None,81,None,False
51244,2024-05-06 01:28:40.499788+00:00,None,None,None,None,93,None,False
51966,2024-05-06 13:42:09.444983+00:00,None,None,None,None,93,None,False
52526,2024-05-06 22:27:29.345911+00:00,None,None,None,None,93,None,False
53086,2024-05-07 07:12:49.578720+00:00,None,None,None,None,93,None,False
53646,2024-05-07 15:58:09.413245+00:00,None,None,None,None,93,None,False
54282,2024-05-08 02:13:32.634954+00:00,None,None,None,None,93,None,False
55082,2024-05-08 14:44:01.127698+00:00,None,None,None,None,93,None,False
56182,2024-05-09 07:36:02.102558+00:00,None,None,None,None,150,None,False
56816,2024-05-09 17:42:35.436504+00:00,None,None,None,None,282,None,False
57670,2024-05-10 06:57:45.205311+00:00,None,None,None,None,226,None,False
58774,2024-05-11 00:43:48.752781+00:00,None,None,None,None,272,None,False
59966,2024-05-11 19:41:47.288950+00:00,None,None,None,None,244,None,True
60526,2024-05-12 04:27:08.773116+00:00,None,None,None,None,244,None,True
61086,2024-05-12 13:12:29.974210+00:00,None,None,None,None,244,None,True
61646,2024-05-12 21:57:52.143033+00:00,None,None,None,None,244,None,True
62286,2024-05-13 07:58:17.058392+00:00,None,None,None,None,244,None,True
63164,2024-05-13 21:43:51.485585+00:00,None,None,None,None,244,None,True
64050,2024-05-14 11:24:26.016283+00:00,None,None,None,None,244,None,True
72391,2024-05-21 05:13:31.183010+00:00,None,None,None,None,75,None,True
81578,2024-05-28 14:08:35.483880+00:00,None,None,None,None,57,None,False
82138,2024-05-28 22:53:59.969351+00:00,None,None,None,None,57,None,False
82698,2024-05-29 07:41:29.038572+00:00,None,None,None,None,57,None,True
83504,2024-05-29 20:08:54.122122+00:00,None,None,None,None,138,None,True
84064,2024-05-30 04:55:20.091772+00:00,None,None,None,None,158,None,True
